latitude,longitude,elevation_m,slope_degrees,terrain_type,zone_id,suitable_for_grazing
33.5,-5.2,1928.5,13.8,hills,1,True
33.5,-5.195918,1481.9,19.2,hills,1,True
33.5,-5.191837,1877.5,18.8,hills,1,True
33.5,-5.187755,1716.8,15.0,hills,1,True
33.5,-5.183673,2227.1,9.2,hills,1,True
33.5,-5.179592,1647.6,17.9,hills,1,True
33.5,-5.17551,1577.7,5.4,hills,1,True
33.5,-5.171429,1592.3,14.7,hills,1,True
33.5,-5.167347,1622.7,17.0,hills,1,True
33.5,-5.163265,1185.9,12.4,hills,1,True
33.5,-5.159184,1910.0,8.4,hills,1,True
33.5,-5.155102,1359.1,15.6,hills,1,True
33.5,-5.15102,1474.9,18.2,hills,1,True
33.5,-5.146939,1646.3,17.3,hills,1,True
33.5,-5.142857,1742.3,18.8,hills,1,True
33.5,-5.138776,1674.6,13.9,hills,1,True
33.5,-5.134694,1741.9,10.2,hills,1,True
33.5,-5.130612,1634.0,11.4,hills,1,True
33.5,-5.126531,1248.8,18.9,hills,1,True
33.5,-5.122449,2057.2,7.9,hills,1,True
33.5,-5.118367,2238.0,6.3,hills,1,True
33.5,-5.114286,1729.9,11.5,hills,1,True
33.5,-5.110204,2009.1,11.0,hills,1,True
33.5,-5.106122,1585.7,15.7,hills,1,True
33.5,-5.102041,1397.9,19.2,hills,1,True
33.5,-5.097959,1788.4,11.5,hills,1,True
33.5,-5.093878,1605.0,15.7,hills,1,True
33.5,-5.089796,1459.8,15.3,hills,1,True
33.5,-5.085714,1706.7,12.3,hills,1,True
33.5,-5.081633,1533.5,7.1,hills,1,True
33.5,-5.077551,1309.6,14.0,hills,1,True
33.5,-5.073469,1647.2,14.5,hills,1,True
33.5,-5.069388,1620.4,18.9,hills,1,True
33.5,-5.065306,1100.5,5.8,hills,1,True
33.5,-5.061224,1622.2,6.6,hills,1,True
33.5,-5.057143,1401.4,7.1,hills,1,True
33.5,-5.053061,1577.8,8.3,hills,1,True
33.5,-5.04898,1648.4,12.1,hills,1,True
33.5,-5.044898,1422.4,6.6,hills,1,True
