date,zone_id,ndvi,biomass_kg_per_hectare,carrying_capacity_sheep_per_hectare,grass_quality,accessible,restriction_reason
2024-01-01,1,0.205,245.6,2.5,poor,True,
2024-01-01,2,0.183,220.2,2.2,very_poor,True,
2024-01-01,3,0.162,194.4,1.9,very_poor,True,
2024-01-01,4,0.0,0.0,0.0,restricted,False,Flood risk
2024-01-01,5,0.133,159.8,1.6,very_poor,True,
2024-01-01,6,0.0,0.0,0.0,restricted,False,Flood risk
2024-01-01,7,0.191,229.4,2.3,very_poor,True,
2024-01-01,8,0.0,0.0,0.0,restricted,False,Protected area
2024-01-01,9,0.0,0.0,0.0,restricted,False,Protected area
2024-01-01,10,0.196,234.7,2.3,very_poor,True,
2024-01-08,1,0.184,220.5,2.2,very_poor,True,
2024-01-08,2,0.214,257.0,2.6,poor,True,
2024-01-08,3,0.049,59.3,0.6,very_poor,True,
2024-01-08,4,0.078,94.1,0.9,very_poor,True,
2024-01-08,5,0.076,91.3,0.9,very_poor,True,
2024-01-08,6,0.115,138.1,1.4,very_poor,True,
2024-01-08,7,0.0,0.0,0.0,very_poor,True,
2024-01-08,8,0.0,0.0,0.0,restricted,False,Protected area
2024-01-08,9,0.0,0.0,0.0,restricted,False,Protected area
2024-01-08,10,0.145,173.9,1.7,very_poor,True,
2024-01-15,1,0.062,74.9,0.7,very_poor,True,
2024-01-15,2,0.02,23.5,0.2,very_poor,True,
2024-01-15,3,0.0,0.0,0.0,very_poor,True,
2024-01-15,4,0.0,0.0,0.0,very_poor,True,
2024-01-15,5,0.029,34.4,0.3,very_poor,True,
2024-01-15,6,0.052,62.0,0.6,very_poor,True,
2024-01-15,7,0.094,113.1,1.1,very_poor,True,
2024-01-15,8,0.0,0.0,0.0,restricted,False,Protected area
2024-01-15,9,0.0,0.0,0.0,restricted,False,Protected area
2024-01-15,10,0.095,114.4,1.1,very_poor,True,
2024-01-22,1,0.149,178.5,1.8,very_poor,True,
2024-01-22,2,0.182,218.3,2.2,very_poor,True,
2024-01-22,3,0.154,185.2,1.9,very_poor,True,
2024-01-22,4,0.0,0.0,0.0,restricted,False,Flood risk
2024-01-22,5,0.167,200.3,2.0,very_poor,True,
2024-01-22,6,0.0,0.0,0.0,restricted,False,Flood risk
2024-01-22,7,0.137,164.6,1.6,very_poor,True,
2024-01-22,8,0.0,0.0,0.0,restricted,False,Protected area
2024-01-22,9,0.0,0.0,0.0,restricted,False,Protected area
2024-01-22,10,0.179,214.6,2.1,very_poor,True,
2024-01-29,1,0.29,348.1,3.5,poor,True,
2024-01-29,2,0.224,268.7,2.7,poor,True,
2024-01-29,3,0.162,194.5,1.9,very_poor,True,
2024-01-29,4,0.0,0.0,0.0,restricted,False,Flood risk
2024-01-29,5,0.212,254.2,2.5,poor,True,
2024-01-29,6,0.0,0.0,0.0,restricted,False,Flood risk
2024-01-29,7,0.232,277.8,2.8,poor,True,
2024-01-29,8,0.0,0.0,0.0,restricted,False,Protected area
2024-01-29,9,0.0,0.0,0.0,restricted,False,Protected area
