date,temperature,humidity,rainfall,description
2024-01-01,3.1,60.6,0.0,measured_data
2024-01-02,8.3,64.1,0.0,measured_data
2024-01-03,10.8,57.2,0.0,measured_data
2024-01-04,5.6,50.5,0.0,measured_data
2024-01-05,7.2,58.0,3.6,measured_data
2024-01-06,7.4,56.9,0.0,measured_data
2024-01-07,7.4,62.5,0.0,measured_data
2024-01-08,4.8,81.0,1.1,measured_data
2024-01-09,8.3,60.6,0.0,measured_data
2024-01-10,6.8,69.8,0.0,measured_data
2024-01-11,7.3,69.7,0.0,measured_data
2024-01-12,2.4,67.6,0.0,measured_data
2024-01-13,4.8,65.3,0.0,measured_data
2024-01-14,8.4,62.4,6.2,measured_data
2024-01-15,9.8,68.7,0.0,measured_data
2024-01-16,7.5,61.3,0.0,measured_data
2024-01-17,3.2,78.0,0.0,measured_data
2024-01-18,6.6,78.2,0.0,measured_data
2024-01-19,9.5,61.6,0.0,measured_data
2024-01-20,6.4,72.0,0.0,measured_data
2024-01-21,4.0,77.2,3.8,measured_data
2024-01-22,5.7,64.7,0.0,measured_data
2024-01-23,6.9,60.9,0.0,measured_data
2024-01-24,10.3,71.9,6.5,measured_data
2024-01-25,6.2,57.4,3.4,measured_data
2024-01-26,10.4,74.8,0.0,measured_data
2024-01-27,1.3,82.5,10.0,measured_data
2024-01-28,10.0,69.8,16.5,measured_data
2024-01-29,10.7,60.2,0.0,measured_data
2024-01-30,2.1,69.7,1.3,measured_data
2024-01-31,8.0,75.7,0.0,measured_data
2024-02-01,4.0,66.3,16.7,measured_data
2024-02-02,12.8,63.2,0.0,measured_data
2024-02-03,7.7,55.5,3.4,measured_data
2024-02-04,7.1,68.8,3.9,measured_data
2024-02-05,3.0,66.0,0.0,measured_data
2024-02-06,4.3,75.1,16.5,measured_data
2024-02-07,7.5,62.9,0.0,measured_data
2024-02-08,8.7,70.6,0.0,measured_data
2024-02-09,8.9,64.8,9.5,measured_data
2024-02-10,8.0,65.4,0.0,measured_data
2024-02-11,11.8,50.1,1.3,measured_data
2024-02-12,10.7,55.6,0.0,measured_data
2024-02-13,8.8,64.6,0.0,measured_data
2024-02-14,11.4,78.3,0.0,measured_data
2024-02-15,12.3,68.8,8.7,measured_data
2024-02-16,9.6,48.4,5.7,measured_data
2024-02-17,12.4,61.6,0.0,measured_data
2024-02-18,7.2,73.0,0.0,measured_data
2024-02-19,8.3,68.7,0.0,measured_data
2024-02-20,11.3,45.0,5.7,measured_data
2024-02-21,10.3,76.0,0.0,measured_data
2024-02-22,12.8,49.9,0.0,measured_data
2024-02-23,11.9,56.4,12.2,measured_data
2024-02-24,8.3,62.8,0.3,measured_data
2024-02-25,7.0,70.9,13.1,measured_data
2024-02-26,13.3,67.4,0.0,measured_data
2024-02-27,12.3,43.9,8.8,measured_data
2024-02-28,16.1,59.8,0.0,measured_data
2024-02-29,17.9,54.9,0.0,measured_data
2024-03-01,12.0,74.4,4.2,measured_data
2024-03-02,8.8,61.2,0.0,measured_data
2024-03-03,12.5,53.7,0.0,measured_data
2024-03-04,8.3,78.7,0.0,measured_data
2024-03-05,13.3,62.2,0.0,measured_data
2024-03-06,12.7,51.6,24.3,measured_data
2024-03-07,17.0,49.7,0.1,measured_data
2024-03-08,14.0,57.5,0.0,measured_data
2024-03-09,12.5,62.3,1.0,measured_data
2024-03-10,15.1,59.4,7.3,measured_data
2024-03-11,11.5,60.3,0.0,measured_data
2024-03-12,11.0,61.3,0.0,measured_data
2024-03-13,10.7,70.0,0.0,measured_data
2024-03-14,8.8,50.8,0.0,measured_data
2024-03-15,23.1,68.4,20.9,measured_data
2024-03-16,9.6,58.1,0.0,measured_data
2024-03-17,18.7,55.9,6.1,measured_data
2024-03-18,9.4,65.1,6.4,measured_data
2024-03-19,15.0,47.7,0.0,measured_data
2024-03-20,11.1,61.4,2.4,measured_data
2024-03-21,15.2,54.8,1.0,measured_data
2024-03-22,16.3,46.7,2.2,measured_data
2024-03-23,21.5,62.9,0.0,measured_data
2024-03-24,15.9,68.8,0.0,measured_data
2024-03-25,17.2,73.8,0.0,measured_data
2024-03-26,14.3,52.7,0.6,measured_data
2024-03-27,21.6,71.0,0.9,measured_data
2024-03-28,13.9,68.6,0.0,measured_data
2024-03-29,17.9,71.5,0.0,measured_data
2024-03-30,18.5,42.0,2.8,measured_data
2024-03-31,15.2,66.8,0.0,measured_data
2024-04-01,13.3,51.6,0.0,measured_data
2024-04-02,15.8,62.3,0.0,measured_data
2024-04-03,21.1,54.9,0.0,measured_data
2024-04-04,16.8,40.0,0.0,measured_data
2024-04-05,19.2,40.1,0.0,measured_data
2024-04-06,19.1,47.8,1.5,measured_data
2024-04-07,20.1,45.2,0.0,measured_data
2024-04-08,9.2,56.7,0.0,measured_data
2024-04-09,21.7,50.7,0.0,measured_data
2024-04-10,13.1,49.9,0.0,measured_data
2024-04-11,19.1,54.2,0.0,measured_data
2024-04-12,21.2,55.5,0.0,measured_data
2024-04-13,16.6,56.8,0.0,measured_data
2024-04-14,19.6,58.0,0.0,measured_data
2024-04-15,21.9,57.1,0.0,measured_data
2024-04-16,17.6,70.7,3.9,measured_data
2024-04-17,11.8,70.6,0.0,measured_data
2024-04-18,20.8,46.4,0.0,measured_data
2024-04-19,25.5,60.4,0.0,measured_data
2024-04-20,16.1,70.5,0.0,measured_data
2024-04-21,18.4,52.4,0.0,measured_data
2024-04-22,17.5,60.8,10.0,measured_data
2024-04-23,24.9,57.4,0.0,measured_data
2024-04-24,17.0,64.9,0.0,measured_data
2024-04-25,19.7,58.6,0.0,measured_data
2024-04-26,28.7,59.3,0.0,measured_data
2024-04-27,23.3,57.5,0.0,measured_data
2024-04-28,18.5,49.8,0.0,measured_data
2024-04-29,21.3,46.3,0.0,measured_data
2024-04-30,20.9,69.5,0.0,measured_data
2024-05-01,23.0,62.0,0.0,measured_data
2024-05-02,24.9,58.7,0.0,measured_data
2024-05-03,25.7,45.5,3.8,measured_data
2024-05-04,24.6,51.6,0.0,measured_data
2024-05-05,26.3,56.0,0.0,measured_data
2024-05-06,23.4,70.0,0.0,measured_data
2024-05-07,22.4,78.2,0.2,measured_data
2024-05-08,25.2,59.0,2.1,measured_data
2024-05-09,18.9,59.3,0.0,measured_data
2024-05-10,25.0,38.8,0.0,measured_data
2024-05-11,20.2,39.5,0.0,measured_data
2024-05-12,22.1,62.4,0.0,measured_data
2024-05-13,29.5,50.0,0.0,measured_data
2024-05-14,22.0,47.3,0.0,measured_data
2024-05-15,30.1,54.3,0.0,measured_data
2024-05-16,23.9,55.2,0.0,measured_data
2024-05-17,22.2,47.1,0.0,measured_data
2024-05-18,26.0,40.8,2.5,measured_data
2024-05-19,23.2,47.1,0.0,measured_data
2024-05-20,23.8,50.3,0.0,measured_data
2024-05-21,25.9,55.9,0.0,measured_data
2024-05-22,22.4,77.6,0.0,measured_data
2024-05-23,23.3,62.2,2.8,measured_data
2024-05-24,22.1,42.0,1.7,measured_data
2024-05-25,25.6,58.3,0.0,measured_data
2024-05-26,22.0,52.4,0.0,measured_data
2024-05-27,26.4,56.5,0.0,measured_data
2024-05-28,25.2,61.4,0.0,measured_data
2024-05-29,29.0,57.8,0.0,measured_data
2024-05-30,27.4,64.7,0.0,measured_data
2024-05-31,24.6,65.9,0.0,measured_data
2024-06-01,20.6,60.9,0.0,measured_data
2024-06-02,25.0,45.0,0.0,measured_data
